"sate_sighting_count","stateid"
9655,"ca"
4266,"wa"
4200,"fl"
3677,"tx"
3219,"ny"
2689,"az"
2645,"il"
2582,"pa"
2424,"oh"
2071,"mi"
1868,"nc"
1845,"or"
1584,"on"
1576,"mo"
1512,"nj"
1505,"co"
1393,"va"
1386,"in"
1358,"ma"
1347,"ga"
1333,"wi"
1192,"tn"
1081,"mn"
1076,"sc"
968,"ct"
914,"ky"
911,"md"
905,"nv"
815,"nm"
787,"bc"
766,"ok"
743,"ut"
707,"ia"
690,"al"
666,"ar"
653,"ks"
633,"me"
597,"la"
554,"id"
535,"nh"
510,"mt"
485,"wv"
414,"ms"
405,"ne"
354,"ak"
353,"hi"
333,"ab"
307,"vt"
289,"ri"
205,"wy"
196,"sd"
183,"de"
178,"qc"
155,"mb"
141,"ns"
138,"nd"
116,"nb"
98,"dc"
97,"sk"
90,"pq"
33,"pr"
28,"sa"
25,"nf"
17,"pe"
17,"nt"
11,"yt"
7,"yk"
1," "
