"year_observed","number_of_observations"
2012,7308
2013,6992
2011,5077
2008,4777
2009,4508
2010,4258
2007,4243
2004,4220
2005,4039
2003,3935
2006,3682
2002,3211
2001,3109
1999,2788
2000,2752
2014,2252
1998,1739
1997,1242
1995,1066
1996,826
-1,694
1994,417
1978,330
1975,311
1993,300
1976,273
1974,269
1977,264
1990,257
1992,246
1979,244
1989,243
1988,239
1980,238
1991,234
1987,223
1973,222
1985,215
1968,214
1986,188
1966,185
1984,185
1967,184
1965,184
1982,180
1981,163
1969,155
1972,155
1983,148
1970,144
1971,128
1964,88
1963,82
1962,71
1957,70
1960,63
1954,51
1959,49
1961,48
1952,45
1958,44
1956,42
1947,35
1955,31
1953,31
1950,27
1951,20
1949,16
1946,9
1945,9
1944,9
1943,9
1948,7
1939,3
1931,2
1936,2
1942,2
1937,1
1906,1
1934,1
1925,1
1916,1
1933,1
1920,1
1930,1
1929,1
1941,1
1910,1
